ID,Lot Frontage,Lot Area,Year Built,1st Flr SF,Gr Liv Area,Garage Area,Neighborhood,Lot Config,Lot Shape,Overall Qual,Overall Cond,Year Remod/Add,2nd Flr SF,TotRms AbvGrd,SalePrice,SalePrice_BoxCox,SalePrice_BoxCox_Normalized,Total Bsmt SF
56,,7851,2002,860,1960,440.0,Gilbert,Inside,Reg,6,5,2002,1100,8,216500,12.880703496564646,1952865.8230545793,860.0
57,63.0,8577,2004,847,1733,433.0,Gilbert,Inside,IR1,7,5,2004,886,7,185088,12.708612567008041,1926774.8184073207,847.0
58,,7750,2000,774,1430,400.0,Gilbert,Inside,IR1,7,5,2000,656,7,180000,12.678033360559553,1922138.651820201,384.0
59,,9505,2001,884,2035,434.0,Gilbert,CulDSac,IR1,7,5,2001,1151,8,222500,12.910734813762328,1957418.9232010308,884.0
60,108.0,14774,1999,1422,2599,779.0,NoRidge,Corner,IR1,9,5,1999,1177,10,333168,13.354983663223257,2024772.2626576065,1393.0
61,60.0,17433,1998,1645,2475,962.0,NoRidge,CulDSac,IR2,8,5,1998,830,7,355000,13.424951176035512,2035380.1587660448,1629.0
62,59.0,10593,1996,1720,1720,527.0,NoRidge,Inside,IR1,7,5,1996,0,7,260400,13.083654010857233,1983635.5029279678,1720.0
63,98.0,12256,1994,1500,2622,712.0,NoRidge,Corner,IR1,8,5,1995,1122,9,325000,13.327630577627348,2020625.2138547509,1463.0
64,92.0,11764,1999,1164,2270,671.0,NoRidge,CulDSac,IR1,8,7,2007,1106,9,290000,13.202132466563109,2001598.2273224823,1152.0
65,58.0,16770,1998,1195,1839,486.0,NoRidge,CulDSac,IR2,7,5,1998,644,7,221000,12.903303013224875,1956292.1750170365,1195.0
66,56.0,14720,1995,2053,3238,666.0,NoRidge,CulDSac,IR1,8,5,1996,1185,9,410000,13.583859741918829,2059472.562367051,2033.0
67,73.0,8987,2005,1595,1595,880.0,Somerst,Inside,Reg,8,5,2006,0,6,221500,12.905785827256787,1956668.598763551,1595.0
68,92.0,9215,2009,1218,1218,676.0,Somerst,Inside,Reg,7,5,2010,0,4,204500,12.818079989286291,1943371.3643771966,1218.0
69,72.0,8640,2009,764,1547,614.0,Somerst,Inside,Reg,7,5,2009,783,7,215200,12.874087917730115,1951862.8236602428,756.0
70,75.0,9000,2008,1566,1566,750.0,Somerst,Inside,Reg,8,5,2008,0,7,262500,13.092489782533095,1984975.109614101,1566.0
71,100.0,12552,2004,991,1947,678.0,Somerst,Corner,Reg,7,5,2005,956,8,254900,13.060173271424894,1980075.5472508788,991.0
72,84.0,10440,2005,1468,1468,528.0,Somerst,Corner,Reg,6,5,2005,0,6,271500,13.129579469414878,1990598.341444452,1468.0
73,76.0,10142,2004,956,2084,618.0,SawyerW,Inside,IR1,7,5,2004,1128,8,233000,12.96140591997913,1965101.2575994255,956.0
74,70.0,11920,2004,831,1659,484.0,SawyerW,Inside,Reg,7,5,2004,828,8,181000,12.68411058649938,1923060.0305973804,831.0
75,,8880,1994,1222,2110,463.0,SawyerW,Inside,IR1,7,5,2002,888,8,205000,12.820761294744583,1943777.8817535243,948.0
76,50.0,8012,1980,923,923,264.0,SawyerW,Inside,Reg,6,5,1980,0,5,143000,12.425842086890677,1883903.4949165517,923.0
77,70.0,11218,1992,1055,1845,462.0,SawyerW,Inside,Reg,6,5,1992,790,8,189000,12.73156191946465,1930254.2095823225,1055.0
78,55.0,7892,1979,918,918,264.0,SawyerW,Inside,Reg,6,5,1979,0,5,99500,12.029255125746069,1823776.257107299,918.0
79,50.0,7175,1984,752,752,264.0,SawyerW,Inside,Reg,6,5,1984,0,4,125000,12.278608435278668,1861581.1453404357,744.0
80,,9453,1993,1014,1744,457.0,SawyerW,CulDSac,IR1,7,7,2003,730,7,194500,12.763042227093631,1935026.9936840825,996.0
81,81.0,9672,1984,1097,1097,480.0,SawyerW,Corner,Reg,6,5,1985,0,6,152000,12.492691092766162,1894038.588773361,1040.0
82,70.0,8400,1980,888,1564,476.0,SawyerW,Inside,Reg,6,6,1981,676,7,171000,12.62178009541606,1913609.9966141202,650.0
83,70.0,9800,1920,1012,1012,429.0,SawyerW,Corner,Reg,5,5,1950,0,5,67500,11.606171995414094,1759631.8890798402,816.0
84,68.0,8930,1978,1318,1902,539.0,Sawyer,Inside,Reg,6,5,1978,584,8,112000,12.158536753064917,1843376.8691085917,0.0
85,88.0,11782,1961,1155,1155,576.0,Sawyer,Inside,IR1,5,7,1995,0,6,148000,12.463479100182681,1889609.7078543305,1109.0
86,65.0,8450,1965,894,894,336.0,Sawyer,Inside,Reg,5,8,2009,0,5,138500,12.390834966839334,1878596.0046595088,894.0
87,,9819,1967,900,900,280.0,Sawyer,Inside,IR1,5,5,1967,0,5,122000,12.252038098410443,1857552.7704313446,882.0
88,75.0,7500,1963,1040,1040,308.0,Sawyer,Corner,Reg,5,5,1963,0,5,133000,12.346482558172092,1871871.658968338,1040.0
89,,6897,1962,1040,1040,260.0,Sawyer,Corner,IR1,5,8,2010,0,6,127000,12.295972709974448,1864213.7731782347,1040.0
90,39.0,15410,1974,1494,1494,461.0,Sawyer,CulDSac,IR1,6,6,2002,0,7,169000,12.608880723867598,1911654.3004953044,1208.0
91,107.0,10186,1992,1061,1923,564.0,NoRidge,Inside,IR1,7,5,1992,862,8,190000,12.737352669386858,1931132.155233036,750.0
92,85.0,13143,1993,1251,2349,762.0,NoRidge,Inside,IR1,8,5,1993,1098,9,362500,13.448005206106304,2038875.4202958927,1231.0
93,88.0,11134,1992,1402,2225,713.0,NoRidge,Inside,Reg,8,5,1993,823,7,285000,13.182986829521907,1998695.524046351,1390.0
94,25.0,4835,2004,1488,1488,506.0,Somerst,CulDSac,IR1,7,5,2005,0,6,260000,13.081962992191531,1983379.1246517876,1488.0
95,39.0,3515,2004,840,1680,588.0,Somerst,Inside,Reg,7,5,2004,840,3,190000,12.737352669386858,1931132.155233036,840.0
96,30.0,3215,2004,600,1200,480.0,Somerst,Inside,Reg,7,5,2004,600,4,155000,12.514103728048559,1897284.9955892342,600.0
97,30.0,3182,2004,600,1200,480.0,Somerst,Inside,Reg,7,5,2005,600,4,151000,12.485460249213707,1892942.3080267978,600.0
98,24.0,2544,2004,600,1200,480.0,Somerst,Inside,Reg,7,5,2005,600,4,149500,12.474524390806284,1891284.3035447195,600.0
99,24.0,2544,2005,600,1236,480.0,Somerst,Inside,Reg,6,5,2005,636,4,152000,12.492691092766162,1894038.588773361,600.0
100,,4403,2009,1478,1478,484.0,Somerst,Inside,IR2,7,5,2009,0,7,222000,12.908263085802183,1957044.1802331062,1470.0
101,,2117,2000,769,1573,440.0,Somerst,Inside,Reg,6,5,2000,804,5,177500,12.662692486523438,1919812.7952698274,756.0
102,,2980,2000,756,1512,440.0,Somerst,Corner,Reg,6,5,2000,756,5,177000,12.65959859404829,1919343.7248594624,756.0
103,24.0,2572,1999,696,1416,484.0,Somerst,FR2,Reg,7,5,1999,720,6,155000,12.514103728048559,1897284.9955892342,696.0
104,,2403,2003,530,1080,496.0,Somerst,FR2,IR1,7,5,2003,550,4,147110,12.456872928978392,1888608.1347671498,530.0
105,57.0,12853,2010,1418,1418,852.0,Somerst,Inside,IR1,8,5,2010,0,6,267916,13.114957857444844,1988381.5334648397,1642.0
106,68.0,7379,2000,975,1848,592.0,Somerst,Inside,IR1,8,5,2000,873,7,254000,13.056283160958678,1979485.7608483424,975.0
107,30.0,4420,1980,788,788,484.0,Greens,CulDSac,IR1,8,5,1980,0,3,155000,12.514103728048559,1897284.9955892342,728.0
108,40.0,3880,1978,1226,1226,484.0,Greens,Inside,IR1,8,6,1978,0,4,206000,12.826104491224253,1944587.9730496854,1226.0
109,,13517,1976,725,1479,475.0,Sawyer,CulDSac,IR1,6,8,2005,754,6,130500,12.325717239759182,1868723.3929870382,725.0
110,80.0,8000,2002,1492,1492,596.0,Somerst,Inside,Reg,7,5,2002,0,6,230000,12.947163496495815,1962941.9390447019,1492.0
111,,10456,1967,1829,1829,535.0,NWAmes,Inside,IR1,6,6,1967,0,8,218500,12.890804727322854,1954397.2881895169,1829.0
112,80.0,10791,1993,1280,2495,660.0,NWAmes,Inside,Reg,6,5,1993,1215,9,243500,13.009859841914784,1972447.4408390545,1280.0
113,,10603,1977,1610,1610,480.0,NWAmes,Inside,IR1,6,7,2001,0,6,205000,12.820761294744583,1943777.8817535243,1610.0
114,,18837,1978,1287,1891,678.0,NWAmes,Inside,IR1,6,5,1978,604,7,212500,12.860220213804201,1949760.3169882747,1224.0
115,80.0,10421,1988,980,1714,496.0,NWAmes,Inside,Reg,7,5,1988,734,7,196500,12.774271030799133,1936729.4121114674,980.0
116,78.0,9360,1972,1381,1381,676.0,NWAmes,Inside,Reg,6,7,2006,0,5,197500,12.77984297273244,1937574.1839030483,1161.0
117,80.0,9600,1971,930,1645,441.0,NWAmes,Inside,Reg,6,6,1971,715,7,171000,12.62178009541606,1913609.9966141202,715.0
118,80.0,9600,1966,1232,1232,490.0,NAmes,Inside,Reg,5,5,1966,0,6,142250,12.420084158928507,1883030.5254601913,1232.0
119,,9790,1963,1328,1328,528.0,NWAmes,Inside,Reg,6,5,1963,0,6,143000,12.425842086890677,1883903.4949165517,1328.0
120,77.0,9320,1959,1225,1225,0.0,NAmes,Inside,IR1,4,5,1959,0,6,128950,12.312643554298376,1866741.2688332936,950.0
121,90.0,9900,1966,1209,1209,504.0,NAmes,Corner,Reg,5,5,1966,0,6,159000,12.542022864994536,1901517.8644201574,1209.0
122,88.0,9680,1967,1510,1510,517.0,NAmes,Inside,Reg,5,6,1967,0,6,178900,12.671309593031793,1921119.2497502277,1510.0
123,,10600,1964,1131,1775,480.0,NAmes,Inside,IR1,6,5,1964,644,8,136300,12.373307431620534,1875938.6246103304,533.0
124,,14112,1964,1152,1152,484.0,NAmes,Corner,IR1,5,7,1964,0,6,180500,12.681076149968684,1922599.9744059914,1152.0
125,80.0,8800,1963,1054,1054,480.0,NAmes,Inside,Reg,6,7,1963,0,6,137500,12.382902413782949,1877393.3365166162,936.0
126,98.0,13260,1962,1728,1728,0.0,NAmes,Inside,IR1,5,6,2001,0,10,84900,11.85608505819866,1797521.6424754516,1728.0
127,68.0,9717,1950,1078,1078,240.0,NAmes,Inside,Reg,5,6,1996,0,5,142125,12.419121576222116,1882884.5866246547,1078.0
128,68.0,9724,1952,1929,2461,400.0,NAmes,Inside,Reg,5,7,2002,532,7,197600,12.780398626312632,1937658.4275071756,1140.0
129,120.0,17360,1949,1019,1556,470.0,NAmes,Corner,Reg,6,6,1950,537,6,172500,12.631356748785452,1915061.9296602695,782.0
130,50.0,7207,1958,858,858,0.0,BrkSide,Inside,IR1,5,7,2008,0,4,116500,12.201596850966567,1849905.285320638,858.0
131,55.0,5350,1940,1306,1306,0.0,BrkSide,Inside,IR1,3,2,1966,0,6,76500,11.742504789168404,1780301.5406679963,728.0
132,80.0,9920,1954,1063,1063,280.0,NAmes,Inside,Reg,5,5,1954,0,6,128000,12.304553346131259,1865514.6983253085,1056.0
133,80.0,9600,1955,1520,1520,364.0,NAmes,Inside,Reg,6,6,1972,0,7,153000,12.499874881884027,1895127.735515386,1156.0
134,78.0,7800,1954,1268,1268,244.0,NAmes,Inside,Reg,5,6,1954,0,7,132000,12.33822329447938,1870619.4576585717,1268.0
135,75.0,11380,1966,1128,1128,315.0,NAmes,Inside,IR1,6,8,2008,0,5,178000,12.6657777424887,1920280.5562839336,1080.0
136,80.0,11600,1960,1105,2274,480.0,NAmes,Corner,Reg,5,5,1960,1169,12,154300,12.5091444642972,1896533.1130006716,1105.0
137,,19900,1970,2207,2207,576.0,NAmes,Inside,Reg,7,5,1989,0,7,180000,12.678033360559553,1922138.651820201,1947.0
138,137.0,16492,1966,1888,1888,578.0,NAmes,Corner,IR1,6,6,2002,0,6,190000,12.737352669386858,1931132.155233036,1517.0
139,70.0,8267,1958,1604,1604,576.0,NAmes,Corner,Reg,5,5,1958,0,8,135000,12.362817805398366,1874348.274164692,1604.0
140,70.0,8197,2003,1480,1480,620.0,NAmes,Inside,Reg,7,5,2009,0,7,214000,12.867945934618854,1950931.6269358578,1480.0
141,,8050,1959,1143,1143,308.0,NAmes,Inside,IR1,5,5,1959,0,6,136000,12.370895587863762,1875572.9607904628,1143.0
142,70.0,10552,1959,1700,1700,447.0,NAmes,Inside,IR1,5,5,1959,0,6,165500,12.585937947583655,1908175.9063452606,1398.0
143,70.0,8400,1957,1314,1314,294.0,NAmes,Inside,Reg,5,6,1957,0,5,145000,12.44105127001697,1886209.3855794172,1314.0
144,73.0,8760,1959,1194,1194,312.0,NAmes,Inside,Reg,6,6,1959,0,6,148000,12.463479100182681,1889609.7078543305,1194.0
145,,12160,1959,1188,1188,531.0,NAmes,Inside,IR1,5,5,1959,0,6,142000,12.418158153021702,1882738.5203603609,1188.0
146,73.0,9300,1960,1264,1264,461.0,NAmes,Inside,Reg,5,5,1960,0,6,167500,12.599106389221296,1910172.3966475062,1268.0
147,87.0,10725,1959,1206,1206,312.0,NAmes,Inside,IR1,5,5,1959,0,6,108538,12.124224095940416,1838174.667581752,1206.0
148,80.0,10032,1959,1580,1580,440.0,NAmes,Inside,Reg,6,5,1959,0,6,159500,12.545463642421367,1902039.5266603774,1244.0
149,60.0,8382,1956,832,1337,263.0,NAmes,Inside,Reg,4,5,1956,505,5,108000,12.118794547389092,1837351.4842980625,832.0
150,60.0,10950,1952,1064,1064,318.0,NAmes,Inside,Reg,5,7,1952,0,4,135000,12.362817805398366,1874348.274164692,864.0
151,119.0,10895,1955,972,972,305.0,NAmes,Corner,Reg,5,6,1955,0,5,122500,12.256511208769652,1858230.946459972,972.0
152,70.0,13587,1958,988,988,264.0,NAmes,Inside,Reg,5,5,1958,0,5,119000,12.22481131124397,1853424.8699526808,988.0
153,68.0,7922,1953,1057,1057,246.0,NAmes,Inside,Reg,5,7,2007,0,5,109000,12.128865372728077,1838878.3396146009,1057.0
154,65.0,7898,1920,985,985,676.0,NAmes,Corner,Reg,4,7,1994,0,4,105000,12.088017281578024,1832685.2895870747,576.0
155,60.0,7200,1955,827,827,392.0,NAmes,Inside,Reg,5,7,2007,0,5,107500,12.113724380776441,1836582.787534126,0.0
156,85.0,10200,1954,1086,1086,490.0,NAmes,Inside,Reg,5,7,2003,0,6,144900,12.440295768899738,1886094.842743191,1086.0
157,74.0,5868,1956,936,936,308.0,NAmes,Inside,Reg,5,7,2000,0,4,129000,12.31306771470775,1866805.5765294663,936.0
158,78.0,17503,1948,912,1458,330.0,NAmes,Inside,Reg,6,5,1950,546,6,97500,12.00708443251978,1820414.919810266,912.0
159,64.0,6979,1980,1056,1056,576.0,OldTown,Inside,Reg,6,5,1980,0,4,144000,12.433472881653598,1885060.4129606031,1056.0
160,,9830,1959,1287,1287,576.0,NAmes,Corner,IR1,5,7,2006,0,7,162000,12.56250854285386,1904623.7336115611,1063.0
161,96.0,11275,1967,1898,2978,564.0,NAmes,Corner,Reg,7,7,2007,1080,11,242000,13.00306626421366,1971417.454727479,710.0
162,60.0,8064,1948,816,1224,280.0,NAmes,Inside,Reg,6,8,2004,408,5,132000,12.33822329447938,1870619.4576585717,816.0
163,75.0,7500,1959,1246,1246,305.0,NAmes,Inside,Reg,5,7,1994,0,6,154000,12.507012227332888,1896209.8408521148,1246.0
164,71.0,8520,1952,910,1385,720.0,NAmes,Corner,Reg,5,4,1952,475,6,166000,12.589244803465082,1908677.264507436,910.0
165,60.0,7200,1951,900,900,576.0,NAmes,Corner,Reg,5,7,2000,0,5,134800,12.36119512536746,1874102.256827599,900.0
166,87.0,10000,1962,1116,1116,440.0,NAmes,Corner,IR1,6,6,1962,0,5,160000,12.548893732768592,1902559.5686138994,1116.0
167,81.0,7635,1960,1175,1175,484.0,NAmes,Corner,IR1,5,6,1960,0,6,148000,12.463479100182681,1889609.7078543305,1175.0
168,80.0,9760,1963,1395,1395,440.0,NAmes,Inside,Reg,6,7,1984,0,7,192000,12.74884398503478,1932874.3735518348,1395.0
169,70.0,7700,1966,1051,1839,442.0,NAmes,Inside,Reg,6,5,1966,788,7,155000,12.514103728048559,1897284.9955892342,756.0
170,60.0,4800,1900,1157,1844,240.0,OldTown,Corner,Reg,4,5,1954,687,9,80400,11.79670179362015,1788518.4426201282,709.0
171,55.0,8800,1910,792,1140,0.0,OldTown,Corner,Reg,4,7,2004,348,7,96500,11.99582926715033,1818708.504645233,576.0
172,56.0,4485,1920,936,936,0.0,OldTown,Inside,Reg,5,7,1950,0,5,109500,12.133866454322021,1839636.5622788945,936.0
173,56.0,8960,1927,1028,1028,360.0,OldTown,Inside,Reg,5,6,1950,0,5,115000,12.18742969204927,1847757.3777574566,1008.0
174,69.0,5805,1957,1347,1347,551.0,OldTown,Inside,Reg,5,7,1957,0,6,143000,12.425842086890677,1883903.4949165517,1347.0
175,60.0,5790,1915,840,1605,379.0,OldTown,Corner,Reg,3,6,1950,765,8,107400,12.112707539679867,1836428.6224898412,840.0
176,47.0,4608,1945,747,747,220.0,OldTown,Corner,Reg,4,6,1950,0,4,80000,11.79126459828645,1787694.0999944855,747.0
177,60.0,7200,1940,804,804,240.0,OldTown,Corner,Reg,5,7,1992,0,4,119000,12.22481131124397,1853424.8699526808,788.0
178,50.0,5500,1929,926,1316,484.0,OldTown,Corner,Reg,5,7,2001,0,6,130000,12.321516835275267,1868086.5623696875,926.0
179,50.0,6900,1938,827,1251,240.0,OldTown,Corner,Reg,6,7,2000,424,6,119000,12.22481131124397,1853424.8699526808,827.0
180,69.0,11851,1948,1027,1633,240.0,OldTown,Inside,Reg,5,7,2009,606,7,129000,12.31306771470775,1866805.5765294663,1027.0
181,,8239,1920,1060,1245,315.0,OldTown,Inside,Reg,5,6,1962,185,6,100000,12.034728695038693,1824606.1144520135,1008.0
182,68.0,9656,1923,832,832,780.0,OldTown,Inside,Reg,2,2,1970,0,5,12789,9.806507694321025,1486781.6594698327,678.0
183,60.0,8520,1928,720,720,484.0,OldTown,Inside,Reg,6,8,2003,0,5,105900,12.097341139249046,1834098.8958384437,624.0
184,60.0,9600,1900,930,1566,288.0,OldTown,Corner,Reg,8,9,2003,636,7,150000,12.478181728317502,1891838.7988353644,930.0
185,60.0,10800,1915,966,1652,416.0,OldTown,Inside,Reg,5,6,1950,686,7,139000,12.394779954635862,1879194.111109384,686.0
186,50.0,9000,1890,1157,2268,624.0,OldTown,Inside,Reg,8,9,2002,1111,7,240000,12.993942867537351,1970034.240715599,346.0
187,100.0,9045,1910,1128,2256,0.0,OldTown,Inside,Reg,5,3,1950,1128,12,76500,11.742504789168404,1780301.5406679963,840.0
188,90.0,7407,1957,1236,1236,923.0,OldTown,Inside,Reg,6,7,1996,0,6,149700,12.475988780309667,1891506.3221800802,912.0
189,60.0,7740,1910,741,1363,528.0,OldTown,Inside,Reg,4,7,1950,622,6,125500,12.28297521417343,1862243.2002711047,622.0
190,60.0,11340,1885,1246,2290,560.0,OldTown,Inside,Reg,4,6,1950,1044,11,122500,12.256511208769652,1858230.946459972,777.0
191,60.0,10560,1922,868,1470,624.0,OldTown,Inside,Reg,6,7,1994,602,6,140750,12.408477367469061,1881270.7996530933,738.0
192,53.0,5830,1950,1030,1612,363.0,BrkSide,Corner,Reg,5,6,1997,582,7,128500,12.308818749587362,1866161.3835496993,988.0
193,,7793,1922,1160,2068,315.0,BrkSide,Corner,IR1,7,7,2005,908,8,209500,12.844605075362212,1947392.8787350939,1108.0
194,50.0,5000,1925,765,765,200.0,BrkSide,Inside,Reg,4,7,1950,0,4,87000,11.88273603108841,1801562.2427517828,765.0
195,50.0,6000,1939,608,1132,240.0,BrkSide,Inside,Reg,6,7,1950,524,5,134000,12.354680425308718,1873114.551839625,608.0
