BldgType,GrLivArea,TotalBsmtSF,OverallQual,GarageCars,GarageArea,Neighborhood,YearBuilt,YearRemodAdd,YrSold,SaleType,SaleCondition,TotRmsAbvGrd,FullBath,@1stFlrSF,@2ndFlrSF,SalePrice,Foundation
Twnhs,1573,756,6,2,440,Somerst,2000,2000,2010,WD,Normal,5,2,769,804,177500,PConc
Townhouse End Unit,1512,756,6,2,440,Somerst,2000,2000,2010,WD,Normal,5,2,756,756,177000,PConc
Twnhs,1416,696,7,2,484,Somerst,1999,1999,2010,WD,Normal,6,2,696,720,155000,PConc
Townhouse End Unit,1080,530,7,2,496,Somerst,2003,2003,2010,WD,Normal,4,2,530,550,147110,PConc
Single Family Residential,1418,1642,8,3,852,Somerst,2010,2010,2010,New,Partial,6,1,1418,0,267916,PConc
Single Family Residential,1848,975,8,2,592,Somerst,2000,2000,2010,WD,Normal,7,2,975,873,254000,PConc
Townhouse End Unit,788,728,8,2,484,Greens,1980,1980,2010,WD,Normal,3,1,788,0,155000,CBlock
Twnhs,1226,1226,8,2,484,Greens,1978,1978,2010,WD,Normal,4,1,1226,0,206000,CBlock
Single Family Residential,1479,725,6,2,475,Sawyer,1976,2005,2010,WD,Normal,6,2,725,754,130500,CBlock
Single Family Residential,1492,1492,7,2,596,Somerst,2002,2002,2010,WD,Normal,6,2,1492,0,230000,PConc
Single Family Residential,1829,1829,6,2,535,NWAmes,1967,1967,2010,WD,Normal,8,2,1829,0,218500,CBlock
Single Family Residential,2495,1280,6,2,660,NWAmes,1993,1993,2010,WD,Normal,9,2,1280,1215,243500,PConc
Single Family Residential,1610,1610,6,2,480,NWAmes,1977,2001,2010,WD,Normal,6,2,1610,0,205000,PConc
Single Family Residential,1891,1224,6,2,678,NWAmes,1978,1978,2010,WD,Normal,7,3,1287,604,212500,PConc
Single Family Residential,1714,980,7,2,496,NWAmes,1988,1988,2010,WD,Normal,7,2,980,734,196500,CBlock
Single Family Residential,1381,1161,6,2,676,NWAmes,1972,2006,2010,WD,Normal,5,1,1381,0,197500,CBlock
Single Family Residential,1645,715,6,2,441,NWAmes,1971,1971,2010,WD,Normal,7,1,930,715,171000,CBlock
Single Family Residential,1232,1232,5,2,490,NAmes,1966,1966,2010,WD,Normal,6,1,1232,0,142250,CBlock
Single Family Residential,1328,1328,6,2,528,NWAmes,1963,1963,2010,WD,Normal,6,1,1328,0,143000,CBlock
Single Family Residential,1225,950,4,0,0,NAmes,1959,1959,2010,WD,Normal,6,1,1225,0,128950,CBlock
Single Family Residential,1209,1209,5,2,504,NAmes,1966,1966,2010,ConLD,Normal,6,1,1209,0,159000,PConc
Single Family Residential,1510,1510,5,2,517,NAmes,1967,1967,2010,WD,Normal,6,2,1510,0,178900,CBlock
Single Family Residential,1775,533,6,2,480,NAmes,1964,1964,2010,COD,Family,8,2,1131,644,136300,CBlock
Single Family Residential,1152,1152,5,2,484,NAmes,1964,1964,2010,WD,Normal,6,1,1152,0,180500,PConc
Single Family Residential,1054,936,6,2,480,NAmes,1963,1963,2010,WD,Abnorml,6,1,1054,0,137500,PConc
Duplex,1728,1728,5,0,0,NAmes,1962,2001,2010,Oth,Abnorml,10,2,1728,0,84900,CBlock
Single Family Residential,1078,1078,5,1,240,NAmes,1950,1996,2010,WD,Normal,5,1,1078,0,142125,CBlock
Single Family Residential,2461,1140,5,2,400,NAmes,1952,2002,2010,WD,Normal,7,2,1929,532,197600,CBlock
Single Family Residential,1556,782,6,2,470,NAmes,1949,1950,2010,WD,Normal,6,2,1019,537,172500,CBlock
Single Family Residential,858,858,5,0,0,BrkSide,1958,2008,2010,WD,Normal,4,1,858,0,116500,CBlock
Single Family Residential,1306,728,3,0,0,BrkSide,1940,1966,2010,WD,Normal,6,1,1306,0,76500,CBlock
Single Family Residential,1063,1056,5,1,280,NAmes,1954,1954,2010,WD,Normal,6,1,1063,0,128000,CBlock
Single Family Residential,1520,1156,6,1,364,NAmes,1955,1972,2010,WD,Normal,7,1,1520,0,153000,CBlock
Single Family Residential,1268,1268,5,1,244,NAmes,1954,1954,2010,WD,Normal,7,1,1268,0,132000,PConc
Single Family Residential,1128,1080,6,1,315,NAmes,1966,2008,2010,WD,Normal,5,1,1128,0,178000,CBlock
Duplex,2274,1105,5,2,480,NAmes,1960,1960,2010,WD,Normal,12,2,1105,1169,154300,CBlock
Single Family Residential,2207,1947,7,2,576,NAmes,1970,1989,2010,WD,Normal,7,2,2207,0,180000,CBlock
Single Family Residential,1888,1517,6,2,578,NAmes,1966,2002,2010,WD,Normal,6,2,1888,0,190000,CBlock
Duplex,1604,1604,5,2,576,NAmes,1958,1958,2010,WD,Normal,8,2,1604,0,135000,CBlock
Single Family Residential,1480,1480,7,2,620,NAmes,2003,2009,2010,WD,Normal,7,2,1480,0,214000,PConc
Single Family Residential,1143,1143,5,1,308,NAmes,1959,1959,2010,WD,Normal,6,1,1143,0,136000,CBlock
Single Family Residential,1700,1398,5,2,447,NAmes,1959,1959,2010,WD,Normal,6,1,1700,0,165500,CBlock
Single Family Residential,1314,1314,5,1,294,NAmes,1957,1957,2010,WD,Normal,5,1,1314,0,145000,CBlock
Single Family Residential,1194,1194,6,1,312,NAmes,1959,1959,2010,WD,Normal,6,1,1194,0,148000,CBlock
Single Family Residential,1188,1188,5,2,531,NAmes,1959,1959,2010,COD,Abnorml,6,1,1188,0,142000,CBlock
Single Family Residential,1264,1268,5,2,461,NAmes,1960,1960,2010,WD,Normal,6,1,1264,0,167500,CBlock
Single Family Residential,1206,1206,5,1,312,NAmes,1959,1959,2010,WD,Normal,6,1,1206,0,108538,CBlock
Single Family Residential,1580,1244,6,2,440,NAmes,1959,1959,2010,WD,Normal,6,1,1580,0,159500,CBlock
Single Family Residential,1337,832,4,1,263,NAmes,1956,1956,2010,WD,Normal,5,1,832,505,108000,CBlock
Single Family Residential,1064,864,5,1,318,NAmes,1952,1952,2010,WD,Normal,4,1,1064,0,135000,CBlock
Single Family Residential,972,972,5,1,305,NAmes,1955,1955,2010,WD,Normal,5,1,972,0,122500,CBlock
Two Family Conversion,988,988,5,1,264,NAmes,1958,1958,2010,WD,Abnorml,5,1,988,0,119000,CBlock
Single Family Residential,1057,1057,5,1,246,NAmes,1953,2007,2010,WD,Abnorml,5,1,1057,0,109000,CBlock
Single Family Residential,985,576,4,2,676,NAmes,1920,1994,2010,WD,Normal,4,1,985,0,105000,BrkTil
Single Family Residential,827,0,5,1,392,NAmes,1955,2007,2010,WD,Normal,5,1,827,0,107500,Slab
Single Family Residential,1086,1086,5,2,490,NAmes,1954,2003,2010,WD,Normal,6,1,1086,0,144900,CBlock
Single Family Residential,936,936,5,1,308,NAmes,1956,2000,2010,WD,Normal,4,1,936,0,129000,CBlock
Single Family Residential,1458,912,6,1,330,NAmes,1948,1950,2010,WD,Abnorml,6,1,912,546,97500,CBlock
Duplex,1056,1056,6,2,576,OldTown,1980,1980,2010,WD,Normal,4,0,1056,0,144000,CBlock
Single Family Residential,1287,1063,5,2,576,NAmes,1959,2006,2010,WD,Normal,7,1,1287,0,162000,CBlock
Single Family Residential,2978,710,7,2,564,NAmes,1967,2007,2010,WD,Normal,11,2,1898,1080,242000,CBlock
Single Family Residential,1224,816,6,1,280,NAmes,1948,2004,2010,WD,Normal,5,1,816,408,132000,CBlock
Single Family Residential,1246,1246,5,1,305,NAmes,1959,1994,2010,WD,Normal,6,1,1246,0,154000,CBlock
Single Family Residential,1385,910,5,2,720,NAmes,1952,1952,2010,WD,Normal,6,2,910,475,166000,CBlock
Single Family Residential,900,900,5,2,576,NAmes,1951,2000,2010,WD,Normal,5,1,900,0,134800,CBlock
Single Family Residential,1116,1116,6,2,440,NAmes,1962,1962,2010,WD,Normal,5,1,1116,0,160000,CBlock
Single Family Residential,1175,1175,5,2,484,NAmes,1960,1960,2010,WD,Normal,6,1,1175,0,148000,CBlock
Single Family Residential,1395,1395,6,2,440,NAmes,1963,1984,2010,WD,Normal,7,1,1395,0,192000,CBlock
Single Family Residential,1839,756,6,2,442,NAmes,1966,1966,2010,WD,Normal,7,1,1051,788,155000,CBlock
Single Family Residential,1844,709,4,1,240,OldTown,1900,1954,2010,COD,Abnorml,9,1,1157,687,80400,PConc
Single Family Residential,1140,576,4,0,0,OldTown,1910,2004,2010,WD,Normal,7,1,792,348,96500,BrkTil
Single Family Residential,936,936,5,0,0,OldTown,1920,1950,2010,WD,Normal,5,1,936,0,109500,PConc
Single Family Residential,1028,1008,5,2,360,OldTown,1927,1950,2010,WD,Normal,5,1,1028,0,115000,CBlock
Single Family Residential,1347,1347,5,2,551,OldTown,1957,1957,2010,WD,Normal,6,1,1347,0,143000,CBlock
Single Family Residential,1605,840,3,1,379,OldTown,1915,1950,2010,WD,Normal,8,2,840,765,107400,CBlock
Single Family Residential,747,747,4,1,220,OldTown,1945,1950,2010,WD,Normal,4,1,747,0,80000,CBlock
Single Family Residential,804,788,5,1,240,OldTown,1940,1992,2010,WD,Abnorml,4,1,804,0,119000,CBlock
Single Family Residential,1316,926,5,2,484,OldTown,1929,2001,2010,WD,Normal,6,1,926,0,130000,BrkTil
Single Family Residential,1251,827,6,1,240,OldTown,1938,2000,2010,WD,Normal,6,1,827,424,119000,PConc
Single Family Residential,1633,1027,5,1,240,OldTown,1948,2009,2010,WD,Normal,7,1,1027,606,129000,BrkTil
Single Family Residential,1245,1008,5,1,315,OldTown,1920,1962,2010,WD,Normal,6,1,1060,185,100000,BrkTil
Single Family Residential,832,678,2,2,780,OldTown,1923,1970,2010,WD,Abnorml,5,1,832,0,12789,BrkTil
Single Family Residential,720,624,6,2,484,OldTown,1928,2003,2010,WD,Normal,5,1,720,0,105900,BrkTil
Single Family Residential,1566,930,8,1,288,OldTown,1900,2003,2010,WD,Abnorml,7,2,930,636,150000,BrkTil
Single Family Residential,1652,686,5,1,416,OldTown,1915,1950,2010,WD,Normal,7,2,966,686,139000,PConc
Single Family Residential,2268,346,8,2,624,OldTown,1890,2002,2010,WD,Normal,7,3,1157,1111,240000,Stone
Two Family Conversion,2256,840,5,0,0,OldTown,1910,1950,2010,WD,Abnorml,12,2,1128,1128,76500,BrkTil
Single Family Residential,1236,912,6,2,923,OldTown,1957,1996,2010,WD,Normal,6,1,1236,0,149700,CBlock
Single Family Residential,1363,622,4,2,528,OldTown,1910,1950,2010,WD,Normal,6,1,741,622,125500,CBlock
Two Family Conversion,2290,777,4,2,560,OldTown,1885,1950,2010,WD,Normal,11,2,1246,1044,122500,PConc
Single Family Residential,1470,738,6,2,624,OldTown,1922,1994,2010,WD,Normal,6,1,868,602,140750,CBlock
Single Family Residential,1612,988,5,1,363,BrkSide,1950,1997,2010,WD,Normal,7,1,1030,582,128500,CBlock
Single Family Residential,2068,1108,7,1,315,BrkSide,1922,2005,2010,WD,Normal,8,1,1160,908,209500,BrkTil
Single Family Residential,765,765,4,1,200,BrkSide,1925,1950,2010,WD,Normal,4,1,765,0,87000,BrkTil
Single Family Residential,1132,608,6,1,240,BrkSide,1939,1950,2010,WD,Abnorml,5,1,608,524,134000,BrkTil
Single Family Residential,1196,572,6,2,576,BrkSide,1940,1950,2010,WD,Normal,6,1,848,348,128000,CBlock
Single Family Residential,1453,835,5,1,240,BrkSide,1942,1950,2010,WD,Normal,7,1,955,498,132000,CBlock
Single Family Residential,1416,780,6,1,312,BrkSide,1948,1950,2010,WD,Normal,6,1,780,636,139900,CBlock
Single Family Residential,1040,528,5,2,624,BrkSide,1936,1980,2010,WD,Normal,5,1,548,492,123900,CBlock
Single Family Residential,1536,928,5,2,480,BrkSide,1930,1950,2010,WD,Normal,7,2,928,608,138400,BrkTil
Single Family Residential,1068,1124,6,1,288,OldTown,1923,1950,2010,WD,Normal,5,1,1068,0,109500,BrkTil
Single Family Residential,1710,576,7,2,480,OldTown,1921,1950,2010,WD,Normal,9,2,902,808,140000,BrkTil
Single Family Residential,1962,888,4,2,572,OldTown,1915,1950,2010,WD,Normal,9,1,888,1074,149500,CBlock
Single Family Residential,1560,780,6,0,0,OldTown,1912,2009,2010,WD,Normal,7,1,780,780,159900,PConc
Single Family Residential,1324,662,6,1,180,OldTown,1920,1993,2010,WD,Normal,6,1,662,662,122000,BrkTil
Duplex,816,816,5,2,516,IDOTRR,1963,1963,2010,WD,Normal,5,1,816,0,110000,CBlock
Two Family Conversion,1092,0,4,0,0,IDOTRR,1930,1950,2010,WD,Normal,7,2,372,720,55000,Slab
Two Family Conversion,1812,360,5,2,672,OldTown,1900,1996,2010,WD,Normal,8,2,1032,780,140000,BrkTil
Single Family Residential,2403,1032,7,1,349,ClearCr,1940,1950,2010,COD,Normal,10,2,1207,1196,244400,CBlock
Single Family Residential,1675,1422,5,1,365,ClearCr,1959,1959,2010,WD,Normal,8,2,1675,0,173000,CBlock
Single Family Residential,1224,689,5,1,180,ClearCr,1917,1950,2010,COD,Normal,6,1,725,499,107500,BrkTil
Two Family Conversion,1392,1212,5,0,0,SWISU,1915,1950,2010,ConLD,Normal,6,1,1212,180,100000,BrkTil
Single Family Residential,919,600,6,1,231,SWISU,1940,1950,2010,WD,Normal,5,1,600,319,95000,CBlock
Single Family Residential,1884,707,4,0,0,SWISU,1907,1950,2010,WD,Abnorml,7,1,942,942,93369,CBlock
Two Family Conversion,1680,856,5,2,450,SWISU,1910,1950,2010,COD,Normal,7,2,936,744,114900,BrkTil
Single Family Residential,1020,780,5,0,0,Sawyer,1875,1996,2010,WD,Normal,6,1,780,240,94000,CBlock
Duplex,1832,1832,4,0,0,Sawyer,1967,1967,2010,WD,Normal,8,2,1832,0,136000,CBlock
Duplex,1768,1768,4,0,0,Sawyer,1968,1968,2010,WD,Normal,8,2,1768,0,136500,CBlock
Two Family Conversion,1039,1039,5,2,504,Sawyer,1965,1965,2010,WD,Normal,6,1,1039,0,131500,PConc
Single Family Residential,1392,1392,5,2,528,Sawyer,1957,1996,2010,WD,Normal,5,1,1392,0,121500,CBlock
Single Family Residential,912,912,5,1,336,Sawyer,1967,1967,2010,WD,Normal,5,1,912,0,125000,CBlock
Single Family Residential,1060,1060,5,1,270,Sawyer,1968,2001,2010,WD,Normal,6,1,1060,0,154000,CBlock
Single Family Residential,892,864,5,1,416,Sawyer,1966,2008,2010,WD,Normal,5,1,892,0,137900,CBlock
Single Family Residential,1352,663,6,1,299,Sawyer,1969,1969,2010,WD,Normal,7,1,663,689,158000,CBlock
Single Family Residential,864,864,5,1,280,Sawyer,1968,1968,2010,WD,Normal,4,1,864,0,137250,CBlock
Duplex,1373,1319,5,2,591,Sawyer,1978,1978,2010,WD,Normal,5,1,1373,0,160250,CBlock
Single Family Residential,1440,720,5,2,480,Sawyer,1968,1968,2010,WD,Normal,7,1,720,720,163000,CBlock
Single Family Residential,1386,672,6,2,440,Sawyer,1978,1978,2010,WD,Abnorml,6,2,672,714,158900,CBlock
Single Family Residential,2260,1306,7,2,533,ClearCr,1996,1997,2010,WD,Normal,7,2,1306,954,328000,PConc
Single Family Residential,1483,1420,7,2,690,ClearCr,1977,2001,2010,WD,Normal,4,1,1483,0,270000,CBlock
Single Family Residential,756,660,4,2,440,Sawyer,1927,1950,2010,WD,Normal,4,1,756,0,85000,BrkTil
Single Family Residential,1067,1067,4,2,436,Sawyer,1950,1995,2010,WD,Normal,4,2,1067,0,128000,CBlock
Single Family Residential,1524,1332,7,2,586,ClearCr,1979,1979,2010,WD,Normal,4,0,1332,192,260000,PConc
Single Family Residential,1981,1117,6,2,522,ClearCr,1978,1992,2010,WD,Normal,8,2,1117,864,230000,PConc
Single Family Residential,1610,972,3,1,480,Edwards,1938,1990,2010,WD,Normal,8,2,1052,558,124000,CBlock
Single Family Residential,835,458,5,1,366,Edwards,1920,1950,2010,COD,Abnorml,5,1,835,0,83000,BrkTil
Single Family Residential,1074,663,6,1,467,Edwards,1950,1987,2010,WD,Normal,6,1,1074,0,144500,CBlock
Single Family Residential,1144,1144,5,1,596,Edwards,1956,1956,2010,WD,Normal,6,1,1144,0,129000,CBlock
Single Family Residential,1531,756,4,1,209,Edwards,1947,1979,2010,WD,Normal,8,1,1169,0,127000,CBlock
